VistaOrder,SourceFile,Date,CustomerID,Status,ImportedAt
791685,791685.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791687,791687.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791688,791688.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791689,791689.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791690,791690.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791691,791691.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791693,791693.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791696,791696.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791694,791694.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791695,791695.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791697,791697.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791698,791698.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791718,791718.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791719,791719.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791701,791701.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791709,791709.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791721,791721.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791720,791720.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791730,791730.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791731,791731.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791746,791746.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791747,791747.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791750,791750.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791755,791755.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791752,791752.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791753,791753.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791756,791756.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791748,791748.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791761,791761.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791757,791757.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791762,791762.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
